1p,2p,3p,1n,2n,3n,ep,en,date,time,mention,hashtag,Class
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', neutral
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['natalieanggi111 kemenbum1 indonesiagarud1 pln_123']', '[]', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['digotama']', '[]', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', positive
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', negative
0, 0, 1, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 3, 0, 0, 0, 0, 0, '[]', '[]', '['yooogaaa1 sriwijayaair']', '[]', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['ipul_ghozi']', '[]', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['sustiwi2014']', '[]', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', neutral
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '[]', '['#citilinkflybanyuwangi']', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 1, 1, 0, -2, -2, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '['#penerbangan']', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '[]', '['#bagasicitilinkgratis']', negative
0, 0, 1, 0, 0, -2, 0, 0, '[]', '[]', '['indonesiagarud1 traveloka']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['nickeayu']', '[]', negative
